group,quality_category,primary_reference_n,semantic_recovered_n,semantic_recovery_percent,wilson_ci_low_percent,wilson_ci_high_percent
ai,correctness_reliability,43,10,23.25581395348837,13.153678479384478,37.744520297809004
ai,maintainability,13,1,7.6923076923076925,1.3710421242556587,33.3139509210996
ai,performance_efficiency,1,1,100.0,20.65493143772374,100.0
human,correctness_reliability,38,7,18.42105263157895,9.22176518522127,33.41885807113141
human,maintainability,19,2,10.526315789473685,2.9358560298870158,31.394082711109018
pooled,correctness_reliability,81,17,20.987654320987655,13.537173606133146,31.06538196834033
pooled,maintainability,32,3,9.375,3.240155129836618,24.21815472838787
pooled,performance_efficiency,1,1,100.0,20.65493143772374,100.0
