metric,delta_provenance_minus_context,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_draws,improvement_direction
brier_score,0.0001039474500466181,-7.722495417243035e-05,0.0003107200103464949,2000,negative
log_loss,0.00018951206276035526,-0.0005825169897323831,0.0010216861005090006,2000,negative
auroc,-0.001287614160578432,-0.005151502659758858,0.0025292902312551583,2000,positive
