tier,group,reference_n,baseline_recovered_n,skill_recovered_n,baseline_recall_pct,skill_recall_pct,difference_pp,both_n,skill_only_n,baseline_only_n,neither_n
primary,all,114,21,32,18.42105263157895,28.07017543859649,9.649122807017545,14,18,7,75
primary,ai,57,12,15,21.05263157894737,26.31578947368421,5.2631578947368425,7,8,5,37
primary,human,57,9,17,15.789473684210526,29.82456140350877,14.035087719298245,7,10,2,38
broad,all,187,37,53,19.78609625668449,28.342245989304814,8.556149732620321,28,25,9,125
broad,ai,70,19,22,27.142857142857142,31.428571428571427,4.285714285714286,13,9,6,42
broad,human,117,18,31,15.384615384615385,26.495726495726494,11.11111111111111,15,16,3,83
