check,scenario,family,role,model,task_type,metric,estimate,ci_low,ci_high
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,feat,risk_difference,-0.007946063763545147,-0.03770698111279028,0.01844878529949014
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,feat,risk_ratio,0.9428920705916446,0.7633226723501053,1.1461764406584183
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,feat,marginal_odds_ratio,0.9342684077694173,0.7286990964330469,1.1696433187775066
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,fix,marginal_probability_ai,0.05470833713347812,0.038192317195691945,0.08051940702833958
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,fix,marginal_probability_human,0.06946347701473814,0.052520945555989657,0.0959022818887534
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,fix,risk_difference,-0.014755139881260017,-0.04551281766493585,0.016119415665178653
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,fix,risk_ratio,0.7875842022977139,0.4868661165698523,1.2762222039177091
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,fix,marginal_odds_ratio,0.7752907319015678,0.4647674857705076,1.298974545459012
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,refactor,marginal_probability_ai,0.12048488558986618,0.0869288931741359,0.17520936543916238
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,refactor,marginal_probability_human,0.1206691363035881,0.08696227665223251,0.17253845563361703
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,refactor,risk_difference,-0.00018425071372191182,-0.05489904143697245,0.056500610445054396
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,refactor,risk_ratio,0.9984730916341494,0.6461768357091495,1.5705960918854158
start_Go_minus20,start_Go_minus20,quality,supplementary,binary,refactor,marginal_odds_ratio,0.9982639202660265,0.6109300415286741,1.66276731840996
