check,scenario,pr_n,repository_n,positive_pr_n,ctol,initialization,status,zero_event_languages,converged,finite_parameters_covariance,minimum_covariance_eigenvalue,max_abs_coefficient,dependence_parameter,iterations,large_coefficients,point_risk_difference,warnings,go_coefficient,risk_difference,ci_low,ci_high,error
default_1e-6,shared_repositories,4477,277,434,1e-06,default,boundary_caution,Go,True,True,0.0023555887303575054,33.0782317044079,0.062361169119078734,10,C(repo_language)[T.Go],-0.010271238031172206,,-33.0782317044079,-0.010271238031172206,-0.03430098807529664,0.011682762973039358,
default_1e-8,default_1e-8,4477,277,434,1e-08,default,suppressed_fit_or_inference_error,Go,True,True,-0.010157346832186784,36.078231703876824,0.062361169772641556,13,C(repo_language)[T.Go],-0.01027123802144514,,-36.078231703876824,,,,RuntimeError: robust covariance 非正半定，拒绝通过特征值裁剪隐藏无效不确定性
default_1e-10,default_1e-10,4477,277,434,1e-10,default,suppressed_fit_or_inference_error,Go,True,True,-3.4952806597955797,38.078231703869854,0.062361169773415895,15,C(repo_language)[T.Go],-0.010271238021429943,,-38.078231703869854,,,,RuntimeError: robust covariance 非正半定，拒绝通过特征值裁剪隐藏无效不确定性
start_Go_minus10,start_Go_minus10,4477,277,434,1e-08,supplied,boundary_caution,Go,True,True,0.0023554202901263453,23.933702222253892,0.062361169773486845,14,C(repo_language)[T.Go],-0.010271238021460197,,-23.933702222253892,-0.010271238021460197,-0.034376271830746936,0.01169879867646301,
start_Go_minus20,start_Go_minus20,4477,277,434,1e-08,supplied,boundary_caution,Go,True,True,0.002355527766307838,32.933648551683724,0.06236116977224147,13,C(repo_language)[T.Go],-0.010271238021452078,,-32.933648551683724,-0.010271238021452078,-0.03433561635643089,0.011689240166469885,
