scenario,family,role,model,task_type,metric,estimate,ci_low,ci_high
exclude_top5,quality,supplementary,binary,refactor,marginal_probability_human,0.058501644520184685,0.03653978199040711,0.09911300396579038
exclude_top5,quality,supplementary,binary,refactor,risk_difference,-0.008847783997799966,-0.05645566375090799,0.03565328256975786
exclude_top5,quality,supplementary,binary,refactor,risk_ratio,0.8487600806717965,0.3986103092108838,1.8854010239921501
exclude_top5,quality,supplementary,binary,refactor,marginal_odds_ratio,0.8408580694489519,0.3776201536493797,1.9551449852423903
shared_repositories,quality,supplementary,binary,all,marginal_probability_ai,0.09582648249667261,0.0819104693284427,0.11631505254729105
shared_repositories,quality,supplementary,binary,all,marginal_probability_human,0.10609772052784482,0.08882491508999475,0.13221575805017713
shared_repositories,quality,supplementary,binary,all,risk_difference,-0.010271238031172206,-0.03430098807529664,0.011682762973039358
shared_repositories,quality,supplementary,binary,all,risk_ratio,0.9031907756352167,0.7335951678215331,1.1230360126523835
shared_repositories,quality,supplementary,binary,all,marginal_odds_ratio,0.8929307013634945,0.7067255777552297,1.1385019325990091
shared_repositories,quality,supplementary,binary,feat,marginal_probability_ai,0.1311951001328113,0.11129171616744526,0.1561837873178261
shared_repositories,quality,supplementary,binary,feat,marginal_probability_human,0.13914116389275516,0.11590645806083705,0.1719943765633023
shared_repositories,quality,supplementary,binary,feat,risk_difference,-0.007946063759943861,-0.037804786966939,0.01851960351176587
shared_repositories,quality,supplementary,binary,feat,risk_ratio,0.9428920706307417,0.7637080073028956,1.146356719653008
shared_repositories,quality,supplementary,binary,feat,marginal_odds_ratio,0.9342684078117099,0.7293095189818765,1.1698632136110994
shared_repositories,quality,supplementary,binary,fix,marginal_probability_ai,0.05470833712826563,0.038162252735476056,0.08050486280639814
shared_repositories,quality,supplementary,binary,fix,marginal_probability_human,0.0694634770311528,0.05252646116815233,0.09592448026266587
shared_repositories,quality,supplementary,binary,fix,risk_difference,-0.014755139902887168,-0.04541643539447572,0.016131993295977743
shared_repositories,quality,supplementary,binary,fix,risk_ratio,0.7875842020365634,0.48777807209840274,1.2782435594913195
shared_repositories,quality,supplementary,binary,fix,marginal_odds_ratio,0.7752907316265423,0.4660403074842516,1.3012798470310563
shared_repositories,quality,supplementary,binary,refactor,marginal_probability_ai,0.12048488558233475,0.08689364022250824,0.1754141586916356
shared_repositories,quality,supplementary,binary,refactor,marginal_probability_human,0.12066913631350891,0.08694347885414982,0.17219813430989714
shared_repositories,quality,supplementary,binary,refactor,risk_difference,-0.0001842507311741598,-0.054671708592095074,0.05677190793896806
shared_repositories,quality,supplementary,binary,refactor,risk_ratio,0.998473091489646,0.6454779063849007,1.5707054095902375
shared_repositories,quality,supplementary,binary,refactor,marginal_odds_ratio,0.9982639201017427,0.610841197005321,1.6693734841808086
