job_id,repo_id,repo_name,pr_id,pr_number,agent,revision,checkout_ref,base_sha,head_sha,language,codeql_language,codeql_version,query_suite,build_mode,build_command,comparison_status,status,attempts,retry_excluded,retry_excluded_reason
onlook-dev_onlook__pr-988__before,820087727,onlook-dev/onlook,2260962808,988,Human,before,e8e6849c2a007557456e5844fbcacb36baf9abfd,e8e6849c2a007557456e5844fbcacb36baf9abfd,991b4dea00f768b3f27fc2deabf13729a9c09f92,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
onlook-dev_onlook__pr-988__after,820087727,onlook-dev/onlook,2260962808,988,Human,after,991b4dea00f768b3f27fc2deabf13729a9c09f92,e8e6849c2a007557456e5844fbcacb36baf9abfd,991b4dea00f768b3f27fc2deabf13729a9c09f92,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
prebid_Prebid.js__pr-13303__before,39321023,prebid/Prebid.js,2573768662,13303,Human,before,e2190080b85b1253c8c2a0bb50ea7c5b317f3d87,e2190080b85b1253c8c2a0bb50ea7c5b317f3d87,75c070e42b9fe9143ebeb27de0f5c730379bbb03,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
prebid_Prebid.js__pr-13303__after,39321023,prebid/Prebid.js,2573768662,13303,Human,after,75c070e42b9fe9143ebeb27de0f5c730379bbb03,e2190080b85b1253c8c2a0bb50ea7c5b317f3d87,75c070e42b9fe9143ebeb27de0f5c730379bbb03,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
MervinPraison_PraisonAI__pr-357__before,774497032,MervinPraison/PraisonAI,2310214732,357,Human,before,747aa08472be9121de4d83f8cd6f3eb999030b17,747aa08472be9121de4d83f8cd6f3eb999030b17,e9be13fc4fa5a504aecca6f5973fa9d80d5f7878,Python,python,2.23.2,security-and-quality,none,,compared,completed,2,,
MervinPraison_PraisonAI__pr-357__after,774497032,MervinPraison/PraisonAI,2310214732,357,Human,after,e9be13fc4fa5a504aecca6f5973fa9d80d5f7878,747aa08472be9121de4d83f8cd6f3eb999030b17,e9be13fc4fa5a504aecca6f5973fa9d80d5f7878,Python,python,2.23.2,security-and-quality,none,,compared,completed,2,,
vdaas_vald__pr-2872__before,195619075,vdaas/vald,2346101499,2872,Human,before,cb121b24abe11a8ff37fdec0a21291a68f87c570,cb121b24abe11a8ff37fdec0a21291a68f87c570,86d6719073e817d974daec41b73da5c136fcb549,Go,go,2.23.2,security-and-quality,autobuild,,compared,completed,1,,
vdaas_vald__pr-2872__after,195619075,vdaas/vald,2346101499,2872,Human,after,86d6719073e817d974daec41b73da5c136fcb549,cb121b24abe11a8ff37fdec0a21291a68f87c570,86d6719073e817d974daec41b73da5c136fcb549,Go,go,2.23.2,security-and-quality,autobuild,,compared,completed,1,,
Significant-Gravitas_AutoGPT__pr-9697__before,614765452,Significant-Gravitas/AutoGPT,2416987762,9697,Human,before,66ebe4376eab3434af90808796b54c2139847b37,66ebe4376eab3434af90808796b54c2139847b37,9947f675451c0381c1db48b6de6e528bc86118d8,Python,python,2.23.2,security-and-quality,none,,compared,completed,2,,
Significant-Gravitas_AutoGPT__pr-9697__after,614765452,Significant-Gravitas/AutoGPT,2416987762,9697,Human,after,9947f675451c0381c1db48b6de6e528bc86118d8,66ebe4376eab3434af90808796b54c2139847b37,9947f675451c0381c1db48b6de6e528bc86118d8,Python,python,2.23.2,security-and-quality,none,,compared,completed,2,,
fluent_fluent-bit__pr-9895__before,29933948,fluent/fluent-bit,2308427998,9895,Human,before,d79b1006d8a63719c7d8b4ee99be796d0a5aa74d,d79b1006d8a63719c7d8b4ee99be796d0a5aa74d,c264a7cb3e30807dc2fed88634cd1870b28d2434,C,cpp,2.23.2,security-and-quality,none,,failed,analysis_failed,6,,
fluent_fluent-bit__pr-9895__after,29933948,fluent/fluent-bit,2308427998,9895,Human,after,c264a7cb3e30807dc2fed88634cd1870b28d2434,d79b1006d8a63719c7d8b4ee99be796d0a5aa74d,c264a7cb3e30807dc2fed88634cd1870b28d2434,C,cpp,2.23.2,security-and-quality,none,,failed,analysis_failed,6,,
crewAIInc_crewAI__pr-2556__before,710601088,crewAIInc/crewAI,2449273362,2556,Human,before,10328f3db4ee79d8390024043ea7a4f1a5a88843,10328f3db4ee79d8390024043ea7a4f1a5a88843,d1edb9deacb51e0f259ca3a40cd4ae6a27c2bde3,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
crewAIInc_crewAI__pr-2556__after,710601088,crewAIInc/crewAI,2449273362,2556,Human,after,d1edb9deacb51e0f259ca3a40cd4ae6a27c2bde3,10328f3db4ee79d8390024043ea7a4f1a5a88843,d1edb9deacb51e0f259ca3a40cd4ae6a27c2bde3,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
calcom_cal.com__pr-20369__before,350360184,calcom/cal.com,2418213882,20369,Human,before,ea250febbcd13e4a59560469414f86e5d5c40393,ea250febbcd13e4a59560469414f86e5d5c40393,98ce50e2efd6884aca208172a2d400b4ff8512a2,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
calcom_cal.com__pr-20369__after,350360184,calcom/cal.com,2418213882,20369,Human,after,98ce50e2efd6884aca208172a2d400b4ff8512a2,ea250febbcd13e4a59560469414f86e5d5c40393,98ce50e2efd6884aca208172a2d400b4ff8512a2,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
zenml-io_zenml__pr-3687__before,314197645,zenml-io/zenml,2531790199,3687,Human,before,1012c2d77753a6a8c050d2cc7d80263b810a375f,1012c2d77753a6a8c050d2cc7d80263b810a375f,1cd20a6815d84f395fd327955101556001251daa,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
zenml-io_zenml__pr-3687__after,314197645,zenml-io/zenml,2531790199,3687,Human,after,1cd20a6815d84f395fd327955101556001251daa,1012c2d77753a6a8c050d2cc7d80263b810a375f,1cd20a6815d84f395fd327955101556001251daa,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
rsyslog_rsyslog__pr-5654__before,10458362,rsyslog/rsyslog,2567881840,5654,Human,before,bec517d8f10f6cf10e96dc743ce846e4147082fd,bec517d8f10f6cf10e96dc743ce846e4147082fd,afd91282e795bd6e80419def45e5d7c780eec978,C,cpp,2.23.2,security-and-quality,none,,compared,completed,1,,
rsyslog_rsyslog__pr-5654__after,10458362,rsyslog/rsyslog,2567881840,5654,Human,after,afd91282e795bd6e80419def45e5d7c780eec978,bec517d8f10f6cf10e96dc743ce846e4147082fd,afd91282e795bd6e80419def45e5d7c780eec978,C,cpp,2.23.2,security-and-quality,none,,compared,completed,1,,
mlflow_mlflow__pr-15807__before,136202695,mlflow/mlflow,2530551941,15807,Human,before,10c1fdbe3a2858d7f336abb36b16e76abc290cf4,10c1fdbe3a2858d7f336abb36b16e76abc290cf4,1cfd0456c383271affa887df124495f5a5f4e993,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
mlflow_mlflow__pr-15807__after,136202695,mlflow/mlflow,2530551941,15807,Human,after,1cfd0456c383271affa887df124495f5a5f4e993,10c1fdbe3a2858d7f336abb36b16e76abc290cf4,1cfd0456c383271affa887df124495f5a5f4e993,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
appsmithorg_appsmith__pr-40349__before,275993885,appsmithorg/appsmith,2475003506,40349,Human,before,d7d59c63e49bdc4a15a8584af24bb8296bae84fc,d7d59c63e49bdc4a15a8584af24bb8296bae84fc,54916f79b3009451298496513e0a3a8ee7bccdac,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
appsmithorg_appsmith__pr-40349__after,275993885,appsmithorg/appsmith,2475003506,40349,Human,after,54916f79b3009451298496513e0a3a8ee7bccdac,d7d59c63e49bdc4a15a8584af24bb8296bae84fc,54916f79b3009451298496513e0a3a8ee7bccdac,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
crewAIInc_crewAI__pr-2723__before,710601088,crewAIInc/crewAI,2489551645,2723,Human,before,f89c2bfb7e5479a07df32e0b8eb593c2f40cdd3e,f89c2bfb7e5479a07df32e0b8eb593c2f40cdd3e,fb5e164bf3c558e5157e923ee6c44b12826b77b7,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
crewAIInc_crewAI__pr-2723__after,710601088,crewAIInc/crewAI,2489551645,2723,Human,after,fb5e164bf3c558e5157e923ee6c44b12826b77b7,f89c2bfb7e5479a07df32e0b8eb593c2f40cdd3e,fb5e164bf3c558e5157e923ee6c44b12826b77b7,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
julep-ai_julep__pr-1209__before,781914762,julep-ai/julep,2370655155,1209,Human,before,5cedd9875d424ab6b4a4aae4f029ae655094650e,5cedd9875d424ab6b4a4aae4f029ae655094650e,ed036c21fb914337f344df8d2ae85c199403f2f9,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
