group,positive_case_n,valid_output_positive_case_n,invalid_output_positive_case_n,review_finding_n_all_cases,semantic_same_issue_finding_n,semantic_related_distinct_finding_n,semantic_no_match_finding_n,semantic_no_reference_finding_n,quality_primary_reference_n,quality_primary_semantic_recovered_n,quality_primary_micro_recall,quality_primary_micro_recall_ci_low,quality_primary_micro_recall_ci_high,quality_primary_macro_recall,quality_primary_pr_hit_n,quality_primary_pr_hit_rate,quality_primary_pr_hit_ci_low,quality_primary_pr_hit_ci_high,quality_primary_complete_case_macro_recall,quality_primary_complete_case_pr_hit_rate
ai,95,90,5,512,24,108,264,116,224,18,0.08035714285714286,0.05143202575355614,0.12343280800810101,0.14035087719298248,15,0.15789473684210525,0.09808516244102737,0.24429605313861202,0.14814814814814817,0.16666666666666666
human,92,86,6,504,21,79,280,124,196,13,0.0663265306122449,0.03916784919251871,0.1101578162464486,0.10809178743961353,12,0.13043478260869565,0.07621480370697037,0.21428013619979347,0.11563307493540052,0.13953488372093023
