group,family,task_type,pr_n,repo_n,introduced_count,introduced_any_n,introduced_any_proportion,introduced_any_ci_low,introduced_any_ci_high,introduced_mean,introduced_median,introduced_p25,introduced_p75,introduced_p90,introduced_max,introduced_zero_proportion,introduced_per_100_pr
ai,quality,all,3087,536,2506,429,0.13896987366375121,0.12721540077461796,0.1516217606595788,0.8117913832199547,0,0.0,0.0,1.0,414,0.8610301263362488,81.17913832199547
ai,quality,fix,1427,392,695,134,0.09390329362298529,0.07984026975833676,0.11014685784750372,0.48703573931324456,0,0.0,0.0,0.0,88,0.9060967063770147,48.703573931324456
ai,quality,feat,1353,321,1540,245,0.18107908351810792,0.16147227583414903,0.20249173455945954,1.1382113821138211,0,0.0,0.0,2.0,414,0.8189209164818921,113.82113821138212
ai,quality,refactor,307,125,271,50,0.16286644951140064,0.12577394806492115,0.20829171748258885,0.8827361563517915,0,0.0,0.0,1.0,33,0.8371335504885994,88.27361563517915
