group,family,task_type,pr_n,repo_n,introduced_count,introduced_any_n,introduced_any_proportion,introduced_any_ci_low,introduced_any_ci_high,introduced_mean,introduced_median,introduced_p25,introduced_p75,introduced_p90,introduced_max,introduced_zero_proportion,introduced_per_100_pr
ai,security,all,3087,536,245,78,0.025267249757045675,0.020293271785945467,0.03142127292631596,0.07936507936507936,0,0.0,0.0,0.0,32,0.9747327502429544,7.936507936507937
ai,security,fix,1427,392,56,33,0.023125437981779958,0.01651335880029275,0.03229809993270886,0.039243167484232656,0,0.0,0.0,0.0,7,0.9768745620182201,3.9243167484232657
ai,security,feat,1353,321,160,39,0.028824833702882482,0.021156848980224144,0.03916077935332269,0.11825572801182557,0,0.0,0.0,0.0,32,0.9711751662971175,11.825572801182558
ai,security,refactor,307,125,29,6,0.019543973941368076,0.008987207426712104,0.04197593912650271,0.09446254071661238,0,0.0,0.0,0.0,17,0.9804560260586319,9.446254071661238
human,security,all,2317,381,271,95,0.041001294777729826,0.033657943507879796,0.049864116167489925,0.11696158826068191,0,0.0,0.0,0.0,19,0.9589987052222702,11.696158826068192
human,security,fix,1037,253,71,27,0.026036644165863067,0.017954734990595904,0.03761708945059258,0.06846673095467695,0,0.0,0.0,0.0,19,0.973963355834137,6.846673095467695
human,security,feat,1090,263,170,63,0.05779816513761468,0.045434919574964414,0.07326734552356313,0.1559633027522936,0.0,0.0,0.0,0.0,15,0.9422018348623853,15.596330275229358
human,security,refactor,190,89,30,5,0.02631578947368421,0.011291765010824347,0.060114315529962624,0.15789473684210525,0.0,0.0,0.0,0.0,15,0.9736842105263158,15.789473684210526
