group,decision,reason,pr_n
ai,exclude,cross_group_overlap,11
ai,exclude,language_out_of_scope,1
ai,retain,primary_metadata_eligible,3364
human,exclude,cross_group_overlap,11
human,retain,primary_metadata_eligible,2435
