ai_binary_event_n,binary_converged,binary_dependence_parameter,binary_event_n,binary_inference_reason,binary_inference_status,binary_scale,binary_working_correlation,count_converged,count_dependence_parameter,count_effects_reportable,count_inference_reason,count_inference_status,count_maximum_standardized_mean,count_observed_mean,count_prediction_to_observed_ratio,count_scale,count_sum,count_suppression_rule,count_variance_mean_ratio,count_working_correlation,family,human_binary_event_n,model_status,negative_binomial_alpha,pr_n,repository_n,role,skip_reason,suppressed_inference_models
251,True,0.06238326367785454,515,,completed,1.0,exchangeable,True,0.030589242107079778,False,,completed,203.72662634784598,0.40599555884529975,501.79520910836817,1.0,2194,standardized_mean_gt_10x_observed_mean,29.507404623470098,exchangeable,quality,264,completed_count_effects_suppressed_unstable,70.21605040347876,5404,640,primary,,
27,True,0.0039432897848266585,53,robust covariance 非正半定，拒绝通过特征值裁剪隐藏无效不确定性,suppressed_invalid_robust_covariance,1.0,exchangeable,False,,False,security count exchangeable GEE did not converge,suppressed_nonconvergence,,,,1.0,128,nonconvergence,6.601313841598816,exchangeable,security,26,completed_with_suppressed_inference,236.48046875000003,5404,640,secondary,,binary|count
