layer,group,positive_pr_n,reference_n,recovered_n,micro_recall,micro_ci_low,micro_ci_high,macro_recall,hit_pr_n,pr_hit_rate,hit_ci_low,hit_ci_high
raw_differential_primary,ai,95,224,18,0.08035714285714286,0.051432025753556126,0.12343280800810102,0.14035087719298248,15,0.15789473684210525,0.09808516244102736,0.24429605313861205
raw_differential_primary,human,92,196,13,0.0663265306122449,0.0391678491925187,0.1101578162464486,0.10809178743961353,12,0.13043478260869565,0.0762148037069704,0.2142801361997935
human_confirmed_primary,ai,31,57,12,0.21052631578947367,0.12474548303034583,0.3328612108319051,0.3225806451612903,10,0.3225806451612903,0.18569426566359173,0.4985899069191436
human_confirmed_primary,human,36,57,9,0.15789473684210525,0.08535795970355269,0.27363176940638023,0.17989417989417988,8,0.2222222222222222,0.11716331975796457,0.3808470294611819
