repo_name,pr_number,group,task_type,repo_language,merge_quarter,changed_kloc,log1p_changed_kloc,stars,log1p_stars,design_name,propensity_ai,exact_stratum,common_support,overlap_weight,support_exclusion_reason
shader-slang/slang,7691,ai,fix,C++,2025-Q3,0.025,0.0246926125903715,4349.0,8.37793112408273,unweighted_full_sample,,fix|C++,True,1.0,
elizaOS/eliza,4637,ai,feat,TypeScript,2025-Q2,0.025,0.0246926125903715,16507.0,9.711600390872473,unweighted_full_sample,,feat|TypeScript,True,1.0,
pdfme/pdfme,766,ai,fix,TypeScript,2025-Q1,7.621,2.154201087227788,3389.0,8.128585200374497,unweighted_full_sample,,fix|TypeScript,True,1.0,
Edgenesis/shifu,1203,ai,fix,Go,2025-Q2,0.012,0.011928570865273802,1359.0,7.215239978730097,unweighted_full_sample,,fix|Go,True,1.0,
python-cachier/cachier,279,ai,fix,Python,2025-Q3,0.134,0.12575120530556033,608.0,6.411818267709897,unweighted_full_sample,,fix|Python,True,1.0,
liam-hq/liam,1015,ai,refactor,TypeScript,2025-Q1,0.041,0.04018178963283183,4194.0,8.341648618901306,unweighted_full_sample,,refactor|TypeScript,True,1.0,
onlook-dev/onlook,1379,ai,feat,TypeScript,2025-Q1,0.005,0.004987541511039074,21192.0,9.961426217456575,unweighted_full_sample,,feat|TypeScript,True,1.0,
celestiaorg/celestia-core,2023,ai,refactor,Go,2025-Q2,0.037,0.036331929247390274,531.0,6.2766434893416445,unweighted_full_sample,,refactor|Go,True,1.0,
getsentry/sentry-python,4474,ai,feat,Python,2025-Q2,0.067,0.06485097231961631,2043.0,7.622663951323595,unweighted_full_sample,,feat|Python,True,1.0,
imbhargav5/rooks,1839,ai,fix,TypeScript,2025-Q3,0.002,0.001998002662673056,3318.0,8.107418811719974,unweighted_full_sample,,fix|TypeScript,True,1.0,
onlook-dev/onlook,2074,ai,feat,TypeScript,2025-Q2,0.227,0.2045721657287744,21192.0,9.961426217456575,unweighted_full_sample,,feat|TypeScript,True,1.0,
calcom/cal.com,20580,ai,feat,TypeScript,2025-Q2,4.134,1.6358850824489488,37399.0,10.529425983402623,unweighted_full_sample,,feat|TypeScript,True,1.0,
mendableai/firecrawl,1533,ai,fix,TypeScript,2025-Q2,0.002,0.001998002662673056,43970.0,10.69128560469541,unweighted_full_sample,,fix|TypeScript,True,1.0,
onlook-dev/onlook,1433,ai,feat,TypeScript,2025-Q1,0.016,0.01587334915629015,21192.0,9.961426217456575,unweighted_full_sample,,feat|TypeScript,True,1.0,
valkey-io/valkey-glide,4386,ai,fix,Java,2025-Q3,0.046,0.044973365642731154,538.0,6.289715570908998,unweighted_full_sample,,fix|Java,True,1.0,
valkey-io/valkey-glide,4377,ai,fix,Java,2025-Q3,0.061,0.05921185963184608,538.0,6.289715570908998,unweighted_full_sample,,fix|Java,True,1.0,
spcl/dace,2024,ai,feat,Python,2025-Q2,0.038,0.037295784743696894,544.0,6.300785794663244,unweighted_full_sample,,feat|Python,True,1.0,
gensx-inc/gensx,740,ai,fix,TypeScript,2025-Q2,0.003,0.002995508979798479,504.0,6.22455842927536,unweighted_full_sample,,fix|TypeScript,True,1.0,
microsoft/genaiscript,1788,ai,fix,TypeScript,2025-Q3,0.379,0.3213585988111648,2742.0,7.916807490937603,unweighted_full_sample,,fix|TypeScript,True,1.0,
go-vikunja/vikunja,1119,ai,fix,Go,2025-Q3,0.05,0.04879016416943201,2080.0,7.640603826393634,unweighted_full_sample,,fix|Go,True,1.0,
antiwork/shortest,329,ai,refactor,TypeScript,2025-Q1,0.064,0.06203539091945264,5179.0,8.55256033525353,unweighted_full_sample,,refactor|TypeScript,True,1.0,
primer/react,6107,ai,feat,TypeScript,2025-Q2,0.095,0.09075436326846414,3613.0,8.192570471152173,unweighted_full_sample,,feat|TypeScript,True,1.0,
microsoft/azure-devops-mcp,247,ai,feat,TypeScript,2025-Q3,0.094,0.08984070399978947,509.0,6.234410725718371,unweighted_full_sample,,feat|TypeScript,True,1.0,
goat-sdk/goat,175,ai,feat,TypeScript,2025-Q1,0.589,0.4631048875545789,798.0,6.683360945766275,unweighted_full_sample,,feat|TypeScript,True,1.0,
ryokun6/ryos,117,ai,fix,TypeScript,2025-Q2,0.004,0.003992021269537453,558.0,6.326149473155099,unweighted_full_sample,,fix|TypeScript,True,1.0,
lingodotdev/lingo.dev,726,ai,fix,TypeScript,2025-Q2,0.054,0.05259245011917058,2784.0,7.932003152361385,unweighted_full_sample,,fix|TypeScript,True,1.0,
ryokun6/ryos,225,ai,refactor,TypeScript,2025-Q3,0.014,0.013902905168991422,558.0,6.326149473155099,unweighted_full_sample,,refactor|TypeScript,True,1.0,
silvery107/rl-mpc-locomotion,39,ai,fix,Python,2025-Q3,0.019,0.01882175424058776,748.0,6.618738983517219,unweighted_full_sample,,fix|Python,True,1.0,
jina-ai/node-DeepResearch,27,ai,refactor,TypeScript,2025-Q1,0.856,0.6184236343640088,4693.0,8.454040376410969,unweighted_full_sample,,refactor|TypeScript,True,1.0,
aipotheosis-labs/aci,451,ai,feat,Python,2025-Q2,0.017,0.0168571170664229,4464.0,8.4040244933106,unweighted_full_sample,,feat|Python,True,1.0,
dartsim/dart,1959,ai,fix,C++,2025-Q2,0.04,0.039220713153281295,985.0,6.893656354602635,unweighted_full_sample,,fix|C++,True,1.0,
tokens-studio/figma-plugin,3374,ai,feat,TypeScript,2025-Q2,0.21,0.1906203596086497,1469.0,7.293017679772782,unweighted_full_sample,,feat|TypeScript,True,1.0,
commaai/opendbc,2541,ai,refactor,Python,2025-Q3,0.495,0.40212620684264977,2457.0,7.80710329012598,unweighted_full_sample,,refactor|Python,True,1.0,
FastLED/FastLED,1955,ai,feat,C++,2025-Q2,0.025,0.0246926125903715,7005.0,8.854522203757432,unweighted_full_sample,,feat|C++,True,1.0,
Kanaries/graphic-walker,459,ai,fix,TypeScript,2025-Q2,0.003,0.002995508979798479,2898.0,7.972121128921655,unweighted_full_sample,,fix|TypeScript,True,1.0,
jina-ai/node-DeepResearch,28,ai,feat,TypeScript,2025-Q1,0.371,0.31554040058017735,4693.0,8.454040376410969,unweighted_full_sample,,feat|TypeScript,True,1.0,
Blaizzy/mlx-vlm,356,ai,fix,Python,2025-Q2,0.002,0.001998002662673056,1551.0,7.347299700743164,unweighted_full_sample,,fix|Python,True,1.0,
temporalio/sdk-go,1959,ai,fix,Go,2025-Q2,0.036,0.035367143837291316,687.0,6.5337888379333435,unweighted_full_sample,,fix|Go,True,1.0,
ryokun6/ryos,18,ai,refactor,TypeScript,2025-Q2,0.034,0.03343477608623739,558.0,6.326149473155099,unweighted_full_sample,,refactor|TypeScript,True,1.0,
pdfme/pdfme,810,ai,fix,TypeScript,2025-Q1,1.105,0.7443154671343447,3389.0,8.128585200374497,unweighted_full_sample,,fix|TypeScript,True,1.0,
prebid/Prebid.js,13355,ai,feat,JavaScript,2025-Q3,0.024,0.023716526617316044,1467.0,7.291656209174461,unweighted_full_sample,,feat|JavaScript,True,1.0,
onlook-dev/onlook,1156,ai,feat,TypeScript,2025-Q1,0.005,0.004987541511039074,21192.0,9.961426217456575,unweighted_full_sample,,feat|TypeScript,True,1.0,
haydenbleasel/kibo,153,ai,fix,TypeScript,2025-Q2,0.597,0.4681268692328754,2040.0,7.621195162809845,unweighted_full_sample,,fix|TypeScript,True,1.0,
alexanderjeurissen/ranger_devicons,137,ai,feat,Python,2025-Q2,0.192,0.17563256864315802,1000.0,6.90875477931522,unweighted_full_sample,,feat|Python,True,1.0,
erpc/erpc,246,ai,feat,Go,2025-Q2,0.527,0.4233050262364954,518.0,6.251903883165888,unweighted_full_sample,,feat|Go,True,1.0,
calcom/cal.com,21285,ai,fix,TypeScript,2025-Q2,0.002,0.001998002662673056,37399.0,10.529425983402623,unweighted_full_sample,,fix|TypeScript,True,1.0,
