covariate,kind,before_ai_mean,before_human_mean,before_smd,after_ai_mean,after_human_mean,after_smd,after_abs_smd_below_0_1
log1p_changed_kloc,continuous,0.17114201374832952,0.271940277342066,-0.21284388486220043,0.17114201374832952,0.271940277342066,-0.21284388486220043,False
log1p_stars,continuous,8.304533993132193,8.618054213839397,-0.2069486567200438,8.304533993132193,8.618054213839397,-0.2069486567200438,False
task_type=feat,indicator,0.4382896015549077,0.47043590850237377,-0.06459577620961696,0.4382896015549077,0.47043590850237377,-0.06459577620961696,True
task_type=fix,indicator,0.4622610949141561,0.4475615019421666,0.029522672457614477,0.4622610949141561,0.4475615019421666,0.029522672457614477,True
task_type=refactor,indicator,0.09944930353093619,0.08200258955545965,0.060771630290363386,0.09944930353093619,0.08200258955545965,0.060771630290363386,True
repo_language=C,indicator,0.015549076773566569,0.021148036253776436,-0.041727486040295886,0.015549076773566569,0.021148036253776436,-0.041727486040295886,True
repo_language=C++,indicator,0.03142209264658244,0.028053517479499353,0.019832094502375375,0.03142209264658244,0.028053517479499353,0.019832094502375375,True
repo_language=Go,indicator,0.08875931324910917,0.050927924039706515,0.14883675834102333,0.08875931324910917,0.050927924039706515,0.14883675834102333,False
repo_language=Java,indicator,0.028830579850988015,0.030643072939145446,-0.010670639738078611,0.028830579850988015,0.030643072939145446,-0.010670639738078611,True
repo_language=JavaScript,indicator,0.04826692581794623,0.06171773845489858,-0.059029467699636094,0.04826692581794623,0.06171773845489858,-0.059029467699636094,True
repo_language=Python,indicator,0.24295432458697766,0.2585239533880017,-0.03592698140932696,0.24295432458697766,0.2585239533880017,-0.03592698140932696,True
repo_language=Ruby,indicator,0.022675736961451247,0.01812688821752266,0.03218137218795094,0.022675736961451247,0.01812688821752266,0.03218137218795094,True
repo_language=TypeScript,indicator,0.5215419501133787,0.5308588692274493,-0.018660286008260557,0.5215419501133787,0.5308588692274493,-0.018660286008260557,True
merge_quarter=2024-Q4,indicator,0.0058309037900874635,0.0,0.10830607221477646,0.0058309037900874635,0.0,0.10830607221477646,False
merge_quarter=2025-Q1,indicator,0.09523809523809523,0.4648252050064739,-0.9031386793073517,0.09523809523809523,0.4648252050064739,-0.9031386793073517,False
merge_quarter=2025-Q2,indicator,0.5594428247489472,0.5351747949935262,0.048769281535254144,0.5594428247489472,0.5351747949935262,0.048769281535254144,True
merge_quarter=2025-Q3,indicator,0.3394881762228701,0.0,1.0138810974877972,0.3394881762228701,0.0,1.0138810974877972,False
