dimension,stratum,family,pr_n,introduced_alert_n,affected_pr_n,affected_pr_percent,affected_pr_wilson_low_percent,affected_pr_wilson_high_percent,alerts_per_100_pr,mean_per_pr,median_per_pr,p95_per_pr,max_per_pr
repo_language,all,quality,2317,1419,264,11.394044022442815,10.163672151503334,12.752217117854276,61.24298662063013,0.6124298662063012,0.0,2.0,186
repo_language,all,security,2317,49,26,1.122140699179974,0.7669265997844783,1.639160149849391,2.1148036253776437,0.021148036253776436,0.0,0.0,8
repo_language,C,quality,49,4,4,8.16326530612245,3.2202817667763686,19.189127596571286,8.16326530612245,0.08163265306122448,0.0,1.0,1
repo_language,C,security,49,0,0,0.0,6.938893903907228e-16,7.269781922049637,0.0,0.0,0.0,0.0,0
repo_language,C++,quality,65,0,0,0.0,0.0,5.580153132285689,0.0,0.0,0.0,0.0,0
repo_language,C++,security,65,0,0,0.0,0.0,5.580153132285689,0.0,0.0,0.0,0.0,0
repo_language,Go,quality,118,2,1,0.847457627118644,0.14975405219652577,4.644557241540204,1.694915254237288,0.01694915254237288,0.0,0.0,2
repo_language,Go,security,118,0,0,0.0,0.0,3.1528339022494327,0.0,0.0,0.0,0.0,0
repo_language,Java,quality,71,73,7,9.859154929577464,4.858282372396933,18.980722240592854,102.8169014084507,1.028169014084507,0.0,1.5,38
repo_language,Java,security,71,2,1,1.408450704225352,0.2490603270544213,7.556050520249006,2.816901408450704,0.028169014084507043,0.0,0.0,2
repo_language,JavaScript,quality,143,177,21,14.685314685314685,9.810081645768932,21.408253549790818,123.77622377622377,1.2377622377622377,0.0,4.900000000000006,62
repo_language,JavaScript,security,143,3,2,1.3986013986013985,0.38438866303400554,4.955696408082872,2.097902097902098,0.02097902097902098,0.0,0.0,2
repo_language,Python,quality,599,312,80,13.35559265442404,10.86358774833406,16.31461249376744,52.086811352253754,0.5208681135225376,0.0,3.0,30
repo_language,Python,security,599,9,5,0.8347245409015025,0.3570563411853758,1.93897997452712,1.5025041736227045,0.015025041736227046,0.0,0.0,4
repo_language,Ruby,quality,42,1,1,2.380952380952381,0.4215404134432499,12.321201573766647,2.380952380952381,0.023809523809523808,0.0,0.0,1
repo_language,Ruby,security,42,4,2,4.761904761904762,1.3157524908905607,15.789852396958842,9.523809523809524,0.09523809523809523,0.0,0.0,2
repo_language,TypeScript,quality,1230,850,150,12.195121951219512,10.483160346481037,14.142488001492765,69.10569105691057,0.6910569105691057,0.0,2.5499999999999545,186
repo_language,TypeScript,security,1230,31,16,1.3008130081300813,0.8022664472038005,2.102600994594711,2.5203252032520327,0.025203252032520326,0.0,0.0,8
