family,task_type,introduced_alert_n,distinct_rule_n,top1_alert_percent,top5_alert_percent,top10_alert_percent,hhi,effective_rule_n
quality,all,775,53,39.096774193548384,70.58064516129032,80.12903225806451,0.18829885535900107,5.310706738463442
quality,feat,544,42,41.72794117647059,72.24264705882354,81.25,0.21124837802768165,4.733764156375968
quality,fix,146,22,41.0958904109589,83.56164383561644,91.78082191780823,0.23869393882529552,4.189465408805032
quality,refactor,85,21,18.823529411764707,60.0,83.52941176470588,0.0970242214532872,10.306704707560629
security,all,79,18,32.91139240506329,69.62025316455696,87.34177215189874,0.1571863483416119,6.361875637104996
security,feat,59,14,44.067796610169495,83.05084745762711,93.22033898305085,0.2553863832232117,3.9156355455568055
security,fix,16,8,31.25,81.25,100.0,0.1953125,5.12
security,refactor,4,2,75.0,100.0,100.0,0.625,1.6
