family,metric,positive_pr_n,single_value_pr_n,single_value_pr_percent,median,p75,p90,p95,max
quality,alerts,251,129,51.39442231075697,1.0,3.0,6.0,10.0,74
quality,rules,251,209,83.26693227091633,1.0,1.0,2.0,3.0,5
quality,categories,251,226,90.0398406374502,1.0,1.0,1.0,2.0,3
quality,files,251,183,72.90836653386454,1.0,2.0,3.0,4.5,16
security,alerts,27,16,59.25925925925926,1.0,3.0,5.200000000000006,10.499999999999996,20
security,rules,27,19,70.37037037037037,1.0,2.0,2.0,2.6999999999999993,3
security,categories,27,27,100.0,1.0,1.0,1.0,1.0,1
security,files,27,22,81.48148148148148,1.0,1.0,2.0,2.0,4
